Sources,Meand13C,SDd13C,Meand15N,SDd15N,Meand34S,SDd34S,n
saltmarsh mpb,-16.84,0.75,3.37,1.31,-2.72,8.6,13
saltmarsh veg,-13.87,0.91,3.65,1.22,-1.2,4.85,9
pom,-20.73,0.69,1.91,0.54,17.3,0.93,14
epiphytes,-14.64,1.7,4.11,1.14,8.73,6.37,8
