Location,Consumer,Source,Mean,SD,2.50%,5%,25%,50%,75%,95%,97.50%
Massachusetts,Blue crab,POM,0.362,0.147,0.112,0.151,0.258,0.346,0.447,0.622,0.709
Massachusetts,Flounder,POM,0.628,0.231,0.058,0.119,0.514,0.681,0.794,0.923,0.947
Massachusetts,Killifish,POM,0.482,0.198,0.062,0.103,0.35,0.511,0.629,0.764,0.81
Massachusetts,Red drum-Striped bass,POM,0.705,0.214,0.108,0.211,0.618,0.768,0.856,0.939,0.958
Massachusetts,Blue crab,Benthic algae,0.04,0.043,0.001,0.002,0.01,0.025,0.055,0.126,0.16
Massachusetts,Flounder,Benthic algae,0.023,0.034,0,0.001,0.004,0.011,0.028,0.085,0.114
Massachusetts,Killifish,Benthic algae,0.043,0.055,0,0.001,0.007,0.022,0.059,0.159,0.194
Massachusetts,Red drum-Striped bass,Benthic algae,0.02,0.028,0,0.001,0.004,0.011,0.025,0.072,0.094
Massachusetts,Blue crab,Saltmarsh veg,0.529,0.146,0.161,0.265,0.447,0.548,0.627,0.731,0.771
Massachusetts,Flounder,Saltmarsh veg,0.295,0.192,0.029,0.051,0.161,0.255,0.38,0.697,0.807
Massachusetts,Killifish,Saltmarsh veg,0.385,0.174,0.093,0.136,0.266,0.363,0.479,0.729,0.796
Massachusetts,Red drum-Striped bass,Saltmarsh veg,0.228,0.176,0.019,0.035,0.106,0.182,0.291,0.6,0.734
