Sources,Meand13C,SDd13C,Meand15N,SDd15N,Meand34S,SDd34S,n
Saltmarsh veg (C4),-13.21386882,0.234553192,2.862874871,1.024457408,6.33,2.8214,15
POM,-22.60666667,0.5,4.4,1.228239158,13.2,0.692,14
Saltmarsh MPB,-21.69166667,0.956754299,2.833333333,0.529722626,-6.33,1.321022331,12
epiphytes,-20.5,1.8,5.4,1,4.1,3,10
