Sources,Meand13C,SDd13C,Meand15N,SDd15N,Meand34S,SDd34S,n
saltmarsh veg,-13.84817647,0.317102356,4.53,0.898475314,-3.835168523,4.213831842,17
saltmarsh mpb,-19.02126023,0.685355027,5.542534806,0.460496067,-6.33,1.321022331,10
pom,-22.6,0.47,5.84,0.81,18.33,4,9
epiphytes,-20.5,1.8,5.4,1,4.1,3,10
